keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
buy commercial inflatables,USD,20,-50%,-33%,High,91,0.82,2.75,,,,,,30,40,20,10,10,20,10,20,30,40,30,20,primary
new bounce house for sale,USD,140,0%,25%,High,100,0.29,1.14,,,,,,70,70,210,40,30,40,880,30,40,50,50,50,secondary
inflatable water slide and bounce house,USD,210,182%,-19%,High,100,0.46,1.70,,,,,,320,260,210,170,50,70,70,50,140,170,320,480,other
giant inflatables for sale,USD,90,57%,-21%,High,100,0.34,2.65,,,,,,110,110,210,90,70,70,40,50,90,70,110,110,secondary
water bounce house near me,USD,320,50%,-19%,High,100,0.66,2.18,,,,,,590,260,90,110,70,170,320,590,480,320,320,480,deprioritize_rental
huge bounce house for sale,USD,480,0%,-18%,High,100,0.22,0.96,,,,,,720,480,480,390,260,210,260,260,480,590,590,590,secondary
bounce house and slide,USD,5400,23%,0%,High,100,0.40,1.76,,,,,,6600,5400,5400,4400,4400,2900,2900,3600,6600,6600,8100,8100,other
large water bounce house,USD,210,85%,-33%,High,100,0.37,1.75,,,,,,390,140,70,30,40,30,50,90,210,260,480,480,other
wholesale inflatable bounce houses,USD,30,0%,-57%,High,100,0.47,2.21,,,,,,20,30,20,20,20,20,20,30,70,30,30,30,primary
wet dry bounce house rental,USD,40,250%,-36%,Medium,66,0.60,1.75,,,,,,90,70,20,10,10,10,10,10,30,20,70,70,deprioritize_rental
magic bounce house,USD,170,-18%,0%,High,96,0.74,3.70,,,,,,170,170,140,170,210,170,170,170,210,170,170,140,other
water bounce,USD,590,296%,46%,High,100,0.29,1.45,,,,,,1000,590,320,210,140,170,170,210,480,480,720,1900,other
commercial waterslide for sale,USD,70,55%,-19%,High,100,0.36,2.25,,,,,,110,50,20,10,10,10,20,40,90,110,140,170,primary
bounce house starter kit,USD,10,0%,-75%,High,100,,,,,,,,40,20,10,20,20,10,20,10,10,10,10,10,other
large white bounce house,USD,90,0%,-21%,High,100,0.39,1.64,,,,,,110,110,90,90,70,50,90,90,90,110,70,110,other
all white bounce house for sale,USD,10,0%,-75%,High,100,0.26,1.97,,,,,,20,20,10,10,10,10,10,10,20,10,10,10,secondary
best place to buy bounce house,USD,70,22%,0%,High,100,0.51,1.86,,,,,,70,50,50,50,40,30,30,70,140,90,170,110,secondary
air bounce house,USD,140,22%,-21%,High,100,0.29,1.82,,,,,,170,170,140,110,110,70,140,110,140,90,110,110,other
bounce house combo rentals near me,USD,30,-33%,-33%,High,69,1.01,2.52,,,,,,30,40,20,20,30,10,20,20,40,30,70,20,deprioritize_rental
water bounce house with slide,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
inflatable home,USD,390,23%,0%,High,98,0.09,0.66,,,,,,480,320,390,480,480,390,320,590,320,390,390,480,other
inflatable waterslide for adults,USD,30,250%,100%,High,100,0.30,1.64,,,,,,70,20,10,10,10,10,10,10,20,40,90,140,other
inflatable bounce house near me,USD,390,0%,-19%,High,99,0.91,2.70,,,,,,390,390,390,390,320,170,210,260,480,390,480,390,deprioritize_rental
jump house inflatables,USD,50,40%,-22%,High,95,0.34,1.90,,,,,,70,90,50,50,30,20,40,40,50,50,70,70,other
pretty bounce house,USD,10,0%,0%,High,100,0.33,1.06,,,,,,10,10,30,10,10,10,10,10,10,10,10,10,other
big inflatable bounce house,USD,390,23%,-19%,High,100,0.29,1.59,,,,,,590,590,720,480,320,210,260,170,320,390,480,480,other
infant bounce house,USD,70,40%,-22%,High,100,0.19,0.97,,,,,,70,90,70,50,70,50,70,50,70,50,70,70,other
inflatable water slides for adults for sale,USD,70,133%,-19%,High,100,0.26,1.17,,,,,,210,140,40,10,10,20,20,20,40,90,110,210,secondary
bounce and slide,USD,1000,0%,14%,Low,28,0.52,2.28,,,,,,880,720,880,880,720,720,1600,1000,1300,1000,1000,1000,other
bounce house and party rentals,USD,260,0%,-90%,High,75,0.95,2.29,,,,,,1300,880,320,50,20,50,90,50,90,70,90,70,deprioritize_rental
buy bounce house near me,USD,50,-29%,-29%,High,100,0.34,1.74,,,,,,90,90,50,20,40,20,20,40,40,70,90,50,secondary
waterslide bounce house for sale,USD,50,100%,-33%,High,100,0.27,0.95,,,,,,140,70,20,10,10,10,10,10,40,70,110,140,secondary
inflatable slide and bounce house,USD,720,22%,-32%,High,100,0.39,1.65,,,,,,880,1300,880,590,590,390,320,320,720,720,880,880,other
moon bounce water slide,USD,170,129%,0%,High,100,0.52,1.96,,,,,,390,170,70,20,20,20,50,50,170,210,320,480,other
bounce house for sale with slide,USD,480,23%,-18%,High,100,0.26,1.08,,,,,,720,480,480,390,390,320,320,320,590,480,590,590,secondary
bounce house rental company,USD,5400,-46%,-19%,Low,6,1.36,3.05,,,,,,2400,33100,9900,1900,1300,1600,880,1300,1900,2400,2400,1300,deprioritize_rental
inflatable jumping castle for sale,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,secondary
wet inflatable rentals near me,USD,20,250%,40%,Medium,62,0.81,1.95,,,,,,50,30,10,0,10,10,10,10,30,20,50,70,deprioritize_rental
buy waterslide,USD,40,100%,27%,High,100,0.26,1.09,,,,,,70,30,10,10,10,10,10,10,40,70,110,140,secondary
solid color bounce house,USD,20,-33%,100%,High,100,0.31,2.07,,,,,,20,20,10,10,10,10,20,20,20,30,30,20,other
water slide bounce house for adults,USD,590,82%,-16%,High,100,0.29,1.65,,,,,,1300,590,210,140,140,140,210,210,720,880,1300,1600,other
starting an inflatable rental business,USD,40,-20%,-43%,Low,16,0.12,3.42,,,,,,50,40,70,40,40,30,20,10,30,50,30,40,deprioritize_rental
commercial combo bounce house,USD,40,80%,-18%,High,98,0.59,2.03,,,,,,50,50,40,20,10,10,40,40,40,50,30,90,primary
buy inflatable obstacle course,USD,390,-19%,-19%,High,100,0.33,2.25,,,,,,880,390,390,320,260,170,260,320,480,480,480,390,secondary
custom bounce house manufacturer,USD,10,0%,0%,High,91,1.47,7.30,,,,,,10,20,30,10,10,10,10,10,20,10,20,10,primary
cheap jumpers for sale,USD,10,100%,0%,High,100,0.06,0.84,,,,,,20,20,10,10,10,10,10,10,20,10,10,20,secondary
commercial jumpers,USD,70,40%,75%,High,100,0.39,2.27,,,,,,50,40,170,70,70,40,40,40,70,50,70,70,primary
cheap inflatable rentals near me,USD,30,25%,67%,High,85,0.73,1.88,,,,,,40,40,20,30,10,10,10,10,30,40,40,50,deprioritize_rental
jumper bounce house,USD,590,0%,-18%,High,100,0.53,2.49,,,,,,590,590,590,590,590,390,480,480,720,590,590,590,other
adult moon bounce,USD,70,22%,-21%,High,100,0.35,1.77,,,,,,140,90,70,40,40,30,70,50,90,90,110,110,other
spacewalks for sale,USD,50,-43%,-43%,High,100,0.20,0.89,,,,,,70,50,30,50,40,30,30,40,70,70,50,40,secondary
indoor inflatable,USD,320,24%,0%,High,98,0.21,1.36,,,,,,390,320,320,320,480,390,390,260,260,210,260,260,other
big water bounce house,USD,210,85%,-33%,High,100,0.37,1.75,,,,,,390,140,70,30,40,30,50,90,210,260,480,480,other
big water slide bounce house,USD,210,23%,-46%,High,97,0.33,1.77,,,,,,480,320,260,140,110,70,90,90,320,260,260,320,other
bounce house and slide rentals,USD,880,14%,-38%,High,98,0.80,2.21,,,,,,1300,1000,1000,880,480,320,480,480,1000,880,1000,1000,deprioritize_rental
bounce house water park,USD,170,129%,-19%,High,99,0.36,1.66,,,,,,480,170,70,40,50,50,70,90,210,210,320,480,other
princess castle bounce house,USD,210,24%,24%,High,100,0.40,1.67,,,,,,260,320,170,170,140,110,140,140,260,170,210,210,other
white bounce house to buy,USD,10,0%,0%,High,100,0.31,0.80,,,,,,10,10,10,10,10,10,10,10,20,10,10,10,other
bounce and slide rentals,USD,480,50%,-18%,High,73,0.72,1.99,,,,,,720,720,590,480,210,110,170,210,390,480,720,720,deprioritize_rental
obstacle course bounce house near me,USD,70,29%,0%,High,71,0.87,1.88,,,,,,90,70,90,70,40,30,70,50,90,70,90,90,deprioritize_rental
bounce slide for sale,USD,50,75%,-50%,High,100,0.18,0.74,,,,,,110,70,50,30,20,20,10,10,50,40,90,70,secondary
jungle bounce house rental,USD,40,0%,0%,High,100,0.80,1.96,,,,,,70,50,40,30,20,10,30,40,50,40,40,40,deprioritize_rental
commercial bounce house for sale near me,USD,90,27%,0%,High,100,0.26,1.58,,,,,,110,140,90,90,70,50,30,70,90,110,170,140,primary
industrial size bounce house,USD,30,0%,-20%,High,100,0.20,0.89,,,,,,40,40,40,30,30,10,10,20,30,40,40,40,other
blowup slide,USD,1600,89%,-18%,High,100,0.35,1.77,,,,,,3600,1900,1000,880,720,590,590,590,1600,1900,2900,3600,other
bouncy water slide for sale,USD,4400,23%,-33%,High,100,0.27,1.28,,,,,,12100,4400,1900,720,590,590,3600,880,4400,6600,5400,8100,secondary
jumpers for sale wholesale,USD,90,-21%,0%,High,100,0.36,2.25,,,,,,70,40,70,50,70,40,90,110,140,140,170,110,primary
inflatable bounce house with blower,USD,210,0%,-46%,High,100,0.30,1.00,,,,,,320,210,210,170,140,170,110,140,210,210,260,210,other
best commercial bounce house brands,USD,20,0%,50%,High,100,0.54,2.22,,,,,,10,40,10,10,10,10,10,20,20,30,40,30,primary
start a bounce house business,USD,40,-25%,-57%,Medium,54,0.17,8.85,,,,,,70,50,30,30,20,30,40,30,90,40,40,30,other
outdoor water bounce house,USD,90,50%,-19%,High,100,0.40,1.73,,,,,,140,50,20,10,20,20,30,70,110,140,170,210,other
bouncy castle rental los angeles,USD,10,0%,0%,High,100,1.42,4.17,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
jumpers to buy,USD,70,29%,29%,High,97,0.10,0.45,,,,,,90,50,40,50,40,30,30,50,70,70,70,90,other
jumping water slide,USD,1900,132%,-33%,High,100,0.45,1.79,,,,,,5400,1900,880,320,210,210,320,480,2400,1900,2400,4400,other
wholesale inflatable water slide,USD,30,125%,0%,High,100,0.44,2.75,,,,,,70,30,30,10,10,10,10,20,40,40,50,90,primary
batman bounce house,USD,210,-35%,-19%,High,88,0.76,1.86,,,,,,210,260,260,140,170,140,210,210,210,260,140,170,other
obstacle course bounce house rental near me,USD,90,-35%,-21%,Medium,40,0.62,2.16,,,,,,110,110,110,110,40,30,50,70,110,170,140,110,deprioritize_rental
inflatable purchase,USD,1600,0%,-21%,High,100,0.31,2.38,,,,,,2400,1600,1300,1600,1600,1600,1300,1000,1900,1900,2400,1900,other
big inflatable slide,USD,210,86%,0%,High,100,0.28,1.87,,,,,,320,210,320,170,140,110,70,110,140,210,260,390,other
bounce house water slide rentals near me,USD,390,156%,0%,High,78,0.73,2.12,,,,,,880,590,480,50,20,20,50,70,260,390,880,1000,deprioritize_rental
jumpers for sale near me,USD,140,0%,-18%,High,100,0.27,1.01,,,,,,140,170,110,110,90,90,90,140,170,140,170,140,secondary
inflatable water slide manufacturers,USD,50,175%,22%,High,100,0.75,2.72,,,,,,170,210,10,10,10,10,10,10,70,40,50,110,primary
water bounce house with blower,USD,30,75%,-50%,High,100,0.38,1.30,,,,,,90,30,20,10,10,10,0,10,30,40,70,70,other
bouncy castle wholesale,USD,10,0%,-50%,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,primary
jumbo bounce house,USD,50,-29%,-44%,High,100,0.36,1.84,,,,,,70,70,40,50,20,20,20,40,50,70,70,50,other
bounce house and water slide combo,USD,260,84%,0%,High,100,0.48,1.90,,,,,,390,260,90,90,50,70,90,110,260,320,480,590,other
pvc bounce house,USD,390,0%,24%,High,100,0.37,1.42,,,,,,2400,320,320,210,170,110,140,140,170,210,210,210,other
inflatables for sale near me,USD,90,27%,27%,High,100,0.30,1.57,,,,,,140,110,70,70,70,70,40,50,110,110,170,140,secondary
commercial bounce house obstacle course,USD,40,75%,0%,High,100,0.33,2.50,,,,,,50,70,40,40,50,20,40,30,30,40,50,70,primary
top rated bounce houses,USD,50,80%,0%,High,100,0.47,1.21,,,,,,40,50,30,20,50,50,20,30,50,50,70,90,other
best inflatable bounce house with water slide,USD,10,50%,-73%,High,100,0.44,1.49,,,,,,40,10,10,20,10,10,10,10,10,20,30,30,other
bounce house website,USD,40,-40%,-57%,High,100,0.93,1.85,,,,,,50,50,30,20,20,20,30,50,50,50,50,30,other
bouncy castle for adults rental,USD,10,0%,0%,High,87,0.29,1.16,,,,,,20,20,10,10,10,0,10,10,10,10,10,10,deprioritize_rental
wet dry combo bounce house,USD,70,27%,-33%,High,100,0.48,1.76,,,,,,110,70,30,30,40,30,40,50,110,110,140,140,other
giant inflatable bounce house,USD,390,23%,-19%,High,100,0.29,1.59,,,,,,590,590,720,480,320,210,260,170,320,390,480,480,other
inflatable bouncy castle with slide,USD,30,-33%,-71%,High,100,0.38,3.40,,,,,,50,110,20,10,20,10,20,10,10,30,30,20,other
adult size bounce house,USD,170,0%,-19%,High,100,0.20,1.15,,,,,,210,210,140,110,110,50,70,90,210,210,260,210,other
inflatables near me for rent,USD,50,29%,80%,Medium,50,0.86,1.86,,,,,,90,70,50,50,20,50,30,30,70,70,50,90,deprioritize_rental
cheap bouncy castle for sale,USD,10,0%,0%,High,67,,,,,,,,10,10,10,0,10,10,10,0,10,10,10,10,secondary
party bounce rentals,USD,110,21%,21%,Low,21,0.41,1.88,,,,,,170,110,90,140,90,50,90,90,140,140,140,170,deprioritize_rental
bounce house in store,USD,210,0%,23%,High,97,0.23,1.33,,,,,,260,260,210,170,140,170,110,140,260,320,320,320,other
miniature bounce house,USD,2400,-21%,-21%,High,100,0.10,0.91,,,,,,1900,1900,1900,2400,2900,2900,1900,1900,2400,2400,1900,1900,other
disney bounce house,USD,170,-18%,-33%,High,97,0.31,1.69,,,,,,140,170,140,210,140,110,110,170,170,170,170,140,other
bouncy castle with slide for sale,USD,10,0%,100%,High,100,0.14,0.46,,,,,,20,20,10,10,10,10,10,10,10,20,20,20,secondary
china inflatable manufacturers,USD,10,-50%,-50%,High,96,0.52,4.42,,,,,,20,10,10,10,20,10,10,10,10,20,10,10,primary
inflatable bouncy castle for sale,USD,260,100%,0%,High,100,0.18,1.53,,,,,,170,1600,1000,10,110,30,20,10,20,10,10,20,secondary
inflatable attractions for sale,USD,10,∞,0%,Medium,57,,,,,,,,10,10,10,10,10,0,0,10,0,0,10,10,secondary
outdoor bounce house for sale,USD,20,-33%,0%,High,99,0.42,1.62,,,,,,20,10,20,20,20,20,20,20,30,30,30,20,secondary
best outdoor bounce house,USD,20,-33%,-33%,High,100,0.45,1.04,,,,,,20,20,10,10,20,10,10,10,70,30,10,20,other
outdoor inflatable bounce house,USD,90,-21%,0%,High,100,0.22,1.65,,,,,,90,70,70,50,90,40,40,40,170,140,140,110,other
bounce house for sale atlanta,USD,10,100%,100%,High,98,0.27,1.32,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,secondary
mini castle bounce house,USD,90,0%,40%,High,74,0.33,2.44,,,,,,40,110,170,90,140,50,70,70,70,70,70,70,other
inflatable business for sale,USD,50,33%,-56%,High,100,0.51,2.31,,,,,,90,70,50,40,40,30,50,30,70,30,40,40,secondary
mermaid bounce house near me,USD,30,-25%,0%,High,100,1.00,2.22,,,,,,40,40,30,30,10,10,20,20,20,40,20,30,deprioritize_rental
axe throwing inflatable,USD,140,0%,0%,High,100,0.23,1.50,,,,,,140,210,210,210,140,70,110,90,170,170,210,170,other
big bouncy castle for sale,USD,20,0%,-60%,High,94,0.28,1.69,,,,,,30,20,10,10,10,10,10,10,10,20,30,20,secondary
rent a slide for birthday party,USD,20,0%,-78%,Medium,65,0.46,1.57,,,,,,50,20,10,10,10,10,10,10,10,20,20,20,deprioritize_rental
inflatable slide for adults,USD,320,126%,22%,High,100,0.28,1.65,,,,,,480,260,140,110,90,90,90,90,320,390,720,880,other
personal bounce house,USD,50,33%,-43%,High,100,0.17,1.17,,,,,,50,30,50,50,70,50,30,40,40,30,70,40,other
inflatable trampoline rental,USD,30,0%,-40%,Medium,52,1.00,2.29,,,,,,50,40,40,40,40,20,20,20,20,30,20,30,deprioritize_rental
purple bounce house,USD,140,0%,0%,High,100,0.40,1.63,,,,,,170,170,140,140,110,90,90,90,140,140,140,140,other
commercial bounce house combo for sale,USD,40,50%,-79%,High,100,0.59,1.93,,,,,,70,50,50,20,30,30,20,20,70,20,40,30,primary
adult bouncy castle for sale,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,secondary
construction bounce house near me,USD,20,0%,0%,High,83,1.23,6.50,,,,,,20,20,20,10,10,10,10,20,10,10,40,10,deprioritize_rental
20 ft water slide for sale,USD,90,50%,24%,High,100,0.24,1.12,,,,,,170,90,40,20,10,10,10,30,70,140,170,210,secondary
castle bounce house for sale,USD,90,-36%,0%,High,100,0.28,1.20,,,,,,210,170,70,70,50,70,50,50,90,140,90,90,secondary
monster bounce house,USD,70,0%,0%,High,99,0.63,1.93,,,,,,90,110,90,90,30,30,70,40,70,70,90,70,other
bounce house rental business,USD,260,23%,0%,Low,8,0.16,2.46,,,,,,480,320,170,320,170,140,170,210,210,260,260,320,deprioritize_rental
white bounce houses for rent,USD,70,-29%,-55%,High,100,1.03,1.95,,,,,,70,70,70,50,40,30,90,70,110,70,90,50,deprioritize_rental
order bounce house,USD,20,100%,0%,High,100,0.69,2.88,,,,,,20,20,20,10,10,10,10,10,20,10,30,20,other
bounce house water slide with blower,USD,20,0%,-76%,High,100,0.42,1.76,,,,,,70,20,10,10,10,10,10,10,30,40,40,40,other
commercial inflatable water park,USD,70,271%,0%,High,99,0.40,1.94,,,,,,140,50,20,30,20,10,10,30,70,70,110,260,primary
commercial bounce house packages for sale,USD,50,0%,-43%,High,100,0.33,2.20,,,,,,110,70,20,30,20,30,30,50,70,40,70,40,primary
bounce house with slide and pool,USD,210,127%,0%,High,100,0.34,1.69,,,,,,390,260,210,90,70,40,70,70,210,260,390,590,other
blow up water bounce house,USD,590,82%,-16%,High,100,0.39,1.75,,,,,,1300,880,140,90,90,70,110,210,720,880,1300,1600,other
bounce house blower for sale,USD,170,-35%,-47%,High,100,0.26,1.01,,,,,,260,210,170,140,110,110,90,90,170,260,210,170,secondary
bounce house pool slide,USD,210,127%,0%,High,100,0.34,1.69,,,,,,390,260,210,90,70,40,70,70,210,260,390,590,other
castle bounce house with slide,USD,90,80%,-47%,High,100,0.34,1.58,,,,,,140,140,170,90,40,30,40,40,70,50,90,90,other
bounce house with slide for adults,USD,40,67%,-29%,High,100,0.40,1.61,,,,,,70,30,40,30,10,30,30,30,30,30,50,50,other
inflatable china,USD,10,0%,0%,High,100,0.34,2.59,,,,,,20,10,10,20,10,10,20,10,10,10,10,10,other
commercial water inflatables,USD,40,80%,-36%,High,100,0.51,2.50,,,,,,70,30,20,10,10,10,10,20,70,50,110,90,primary
bounce house banners for sale,USD,30,0%,-57%,High,100,0.42,3.31,,,,,,20,10,40,20,20,10,30,30,30,30,30,30,secondary
discount inflatables,USD,30,50%,-25%,High,100,0.57,2.08,,,,,,30,30,30,40,30,40,20,10,30,20,30,30,other
inflatable rental business insurance,USD,70,0%,22%,Medium,44,6.22,22.00,,,,,,40,40,50,50,90,20,40,50,90,110,90,110,deprioritize_rental
best home bounce house,USD,70,40%,0%,High,100,0.41,1.19,,,,,,50,50,70,70,90,70,50,40,90,50,90,70,other
jump house with slide,USD,110,-18%,0%,High,100,0.33,1.76,,,,,,90,140,140,140,110,70,90,70,140,170,140,140,other
bounce house cost to buy,USD,50,-22%,40%,High,100,0.17,0.71,,,,,,50,40,50,70,40,30,40,40,50,90,90,70,other
backyard bounce house rental,USD,70,0%,0%,High,68,0.85,2.00,,,,,,110,90,90,50,20,30,30,30,90,90,90,90,deprioritize_rental
inflatable bouncer rental,USD,50,-57%,-67%,Medium,44,0.53,1.93,,,,,,90,110,70,50,50,20,40,40,70,70,50,30,deprioritize_rental
big jumping castle,USD,20,-33%,100%,High,96,,,,,,,,20,20,20,10,10,30,10,20,30,30,30,20,other
usa bounce house,USD,880,120%,-32%,Low,29,0.74,2.25,,,,,,1600,1600,1900,1000,320,210,320,390,590,590,880,1300,other
bouncy castle suppliers,USD,10,-100%,-100%,Unknown,,,,,,,,,20,10,10,10,10,10,10,0,10,10,20,0,other
inflatables atlanta,USD,30,0%,-79%,High,92,1.34,2.41,,,,,,50,30,40,30,20,10,20,10,40,30,30,30,other
commercial inflatable slides for sale,USD,40,50%,-57%,High,100,0.28,1.42,,,,,,30,30,110,50,40,40,20,20,30,20,30,30,primary
indoor bounce house rental near me,USD,90,0%,-85%,High,82,1.00,2.00,,,,,,70,70,70,110,110,90,110,90,70,70,50,70,deprioritize_rental
party jump rentals,USD,50,0%,40%,Medium,59,0.94,2.94,,,,,,70,50,50,40,30,10,30,30,50,70,90,70,deprioritize_rental
buy bounce house wholesale,USD,20,-50%,-86%,High,100,0.79,3.18,,,,,,30,30,10,10,10,10,10,20,40,20,20,10,primary
best inflatable manufacturers,USD,10,0%,-67%,High,71,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,primary
bounce house for sale amazon,USD,320,0%,-36%,High,100,0.15,0.88,,,,,,170,390,260,30,880,320,1600,30,40,70,70,70,secondary
commercial bounce house with water slide,USD,140,50%,22%,High,100,0.37,1.72,,,,,,260,170,70,30,40,40,40,70,140,260,320,390,primary
bounce house with big slide,USD,30,67%,0%,High,100,0.44,2.16,,,,,,20,20,30,30,40,30,10,30,40,30,30,50,other
inflatable castle bounce house,USD,720,0%,-41%,High,100,0.31,1.80,,,,,,1300,1300,1600,590,590,320,390,390,590,590,590,590,other
moon bounce purchase,USD,20,0%,50%,High,100,0.30,2.00,,,,,,20,20,20,10,10,10,10,20,20,30,20,30,other
birthday inflatable rentals,USD,30,-33%,-60%,High,79,0.94,1.84,,,,,,30,50,50,50,20,10,10,20,20,30,40,20,deprioritize_rental
15x15 bounce house for sale,USD,70,-22%,-22%,High,100,0.28,1.32,,,,,,110,90,90,50,30,30,50,30,70,90,70,70,secondary
water slide price,USD,210,50%,0%,High,92,0.19,1.59,,,,,,390,260,140,70,50,90,70,90,170,320,390,480,other
space themed bounce house near me,USD,10,0%,-50%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
13x13 bounce house for sale,USD,70,-22%,40%,High,100,0.25,1.03,,,,,,50,90,70,70,70,40,70,70,110,90,70,70,secondary
inflatable play equipment,USD,20,200%,200%,High,100,0.26,3.62,,,,,,20,10,20,20,10,20,10,30,30,10,20,30,other
inflatable playhouse rental,USD,20,100%,0%,High,94,0.70,2.16,,,,,,20,70,20,10,10,10,20,10,20,10,10,20,deprioritize_rental
cute bounce house,USD,30,-20%,0%,High,100,0.34,1.98,,,,,,50,20,20,30,20,20,30,30,30,50,70,40,other
bounce slide rental near me,USD,70,57%,0%,High,78,0.94,3.16,,,,,,140,110,90,50,30,10,30,40,50,70,140,110,deprioritize_rental
wholesale bounce houses for sale,USD,70,-18%,0%,High,100,0.34,2.23,,,,,,110,70,70,40,50,50,70,70,110,110,90,90,primary
bounce house rentals near me prices,USD,10,0%,-67%,High,90,0.89,7.03,,,,,,20,20,10,10,10,10,10,10,10,10,20,10,deprioritize_rental
slip n slide bounce house,USD,90,189%,24%,High,100,0.44,1.85,,,,,,210,110,50,10,20,10,20,30,70,90,170,260,other
big jumpers for sale,USD,20,-33%,-60%,High,100,0.14,2.13,,,,,,50,30,20,20,10,10,10,10,30,30,20,20,secondary
birthday bounce house rentals,USD,50,-67%,-40%,High,94,0.52,1.91,,,,,,70,70,30,20,30,20,40,50,90,90,90,30,deprioritize_rental
pink bounce house for sale,USD,40,-40%,-40%,High,100,0.15,1.48,,,,,,70,50,50,40,20,10,40,30,70,50,40,30,secondary
commercial water bounce house for sale,USD,10,300%,33%,High,100,0.38,2.06,,,,,,30,20,0,10,10,10,10,10,10,10,40,40,primary
big jump house,USD,260,0%,-65%,High,100,0.26,0.98,,,,,,390,480,590,320,140,90,140,110,260,170,170,170,other
giant inflatable water slide for adults,USD,140,191%,-46%,High,100,0.30,1.75,,,,,,320,110,110,50,50,40,40,30,110,110,170,320,other
unicorn jump house,USD,30,0%,-60%,High,100,0.69,3.49,,,,,,30,10,30,20,10,50,30,30,50,20,30,20,other
bounce house package deals,USD,50,40%,40%,High,100,0.41,1.67,,,,,,50,50,40,50,50,50,90,50,50,50,70,70,other
quality inflatables,USD,10,0%,0%,High,87,,,,,,,,10,10,10,10,10,20,10,10,10,10,10,10,other
cow bounce house,USD,70,29%,-65%,High,92,0.53,1.94,,,,,,110,90,90,70,40,50,50,30,50,70,70,90,other
interactive inflatables near me,USD,10,0%,-50%,High,86,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,deprioritize_rental
bouncy bounce inflatables,USD,40,-40%,0%,Medium,57,0.86,2.02,,,,,,40,30,50,20,20,30,50,50,30,50,40,30,other
indoor bounce house for sale,USD,90,0%,0%,High,100,0.19,0.98,,,,,,50,90,90,70,90,90,140,70,90,70,70,70,secondary
places to rent bounce houses,USD,70,29%,80%,Medium,64,0.52,2.01,,,,,,90,110,70,50,30,20,30,20,90,70,90,90,deprioritize_rental
blow up party house,USD,170,0%,-18%,High,100,0.31,1.87,,,,,,210,140,210,210,170,140,140,140,170,140,210,140,other
jump for fun inflatables,USD,20,100%,100%,High,71,0.61,3.91,,,,,,30,30,20,10,10,10,10,10,10,10,20,20,other
water slide obstacle course rental,USD,70,24%,0%,High,92,0.58,1.93,,,,,,110,70,40,10,10,10,10,30,70,170,170,210,deprioritize_rental
best bounce house brands,USD,30,-20%,-43%,High,100,0.47,1.38,,,,,,50,30,30,20,30,20,10,10,30,50,50,40,other
12x12 bounce house,USD,110,27%,0%,High,100,0.28,1.35,,,,,,90,110,110,110,110,50,70,70,110,110,170,140,other
obstacle course jump house,USD,4400,0%,0%,High,100,0.57,1.91,,,,,,4400,5400,5400,4400,3600,2400,2900,3600,5400,5400,6600,5400,other
blow up houses for sale,USD,70,0%,57%,High,88,0.24,0.99,,,,,,70,50,50,70,30,30,30,70,70,110,70,110,secondary
used commercial inflatables for sale,USD,40,0%,33%,High,100,0.23,1.10,,,,,,40,50,90,70,40,30,30,30,50,40,30,40,primary
moon bounce rental prices,USD,20,-33%,-50%,Medium,55,0.86,1.87,,,,,,40,30,10,10,20,10,10,10,20,30,20,20,deprioritize_rental
large commercial bounce house,USD,40,0%,0%,High,100,0.29,1.22,,,,,,50,70,40,30,40,30,50,30,50,40,30,40,primary
buy commercial water slide,USD,30,0%,-36%,High,100,0.33,2.15,,,,,,70,30,10,10,10,0,10,10,20,70,50,70,primary
inflatable bounce house with water slide,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
bounce house accessories,USD,70,40%,-36%,High,100,0.25,0.96,,,,,,110,110,50,50,50,50,40,50,70,50,70,70,other
best bounce house with water slide,USD,20,150%,67%,High,100,0.52,1.96,,,,,,40,10,10,10,10,10,10,10,20,20,40,50,other
bounce house obstacle course for adults,USD,70,29%,0%,High,100,0.44,1.79,,,,,,110,90,70,50,40,20,20,40,70,70,90,90,other
inflatable manufacturers near me,USD,10,100%,-33%,High,92,0.86,2.97,,,,,,10,10,0,10,10,10,10,10,10,10,10,20,primary
bounce castle near me,USD,140,27%,-18%,High,85,0.80,2.33,,,,,,170,140,140,140,110,70,110,90,140,110,140,140,deprioritize_rental
