keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
moon bounce cost,USD,10,0%,0%,High,89,0.18,1.03,,,,,,10,10,10,10,10,10,10,10,10,10,30,10,other
moon bounce for adults rentals,USD,10,0%,0%,High,79,0.25,1.99,,,,,,10,10,10,0,0,0,0,10,10,10,10,10,deprioritize_rental
moon bounce for sale near me,USD,10,0%,-50%,High,100,0.30,1.01,,,,,,10,30,10,20,10,10,10,10,10,10,10,10,secondary
moon bounce park,USD,20,-50%,-80%,Low,9,,,,,,,,30,30,20,20,10,10,10,20,20,20,20,10,other
moon bounce party,USD,30,0%,-40%,Medium,48,,,,,,,,50,40,40,30,20,20,40,30,30,30,40,30,other
moon bounce price,USD,20,-33%,-33%,High,100,0.19,1.56,,,,,,20,20,10,30,20,10,10,10,20,30,20,20,other
moon bounce store,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,0,other
moon bounce water slide for sale,USD,10,200%,-40%,High,100,0.21,0.80,,,,,,40,20,10,10,10,10,10,10,20,10,20,30,secondary
moon bouncers for rent,USD,2400,0%,-34%,High,91,0.79,2.24,,,,,,3600,3600,2900,2400,1000,720,1300,1300,2900,2900,2900,2900,deprioritize_rental
moon jump blower,USD,20,0%,-50%,High,100,,,,,,,,10,10,20,30,10,20,20,20,10,10,20,10,other
moon walk bounce house,USD,20,-67%,-86%,Medium,45,,,,,,,,20,10,10,10,10,10,20,30,50,30,10,10,other
moonbounce usa,USD,10,0%,0%,Medium,60,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10,other
moonbounce waterslide,USD,10,0%,-50%,High,100,0.50,1.33,,,,,,30,10,0,0,10,10,10,0,10,10,10,10,other
moonbounces for sale,USD,590,-18%,-28%,High,100,0.21,1.07,,,,,,880,880,590,590,390,260,390,480,720,880,880,720,secondary
moonwalk bounce,USD,20,-33%,-50%,High,100,0.73,2.08,,,,,,20,20,10,10,20,10,10,20,20,30,30,20,other
moonwalk bounce house for sale,USD,10,0%,-50%,High,100,0.44,2.14,,,,,,10,10,10,10,10,10,10,10,20,10,10,10,secondary
moonwalk bouncy castle,USD,10,0%,0%,High,85,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
moonwalk business,USD,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
moonwalk castle,USD,10,0%,-50%,High,80,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
moonwalk for sale in houston tx,USD,10,-50%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,20,20,10,10,secondary
moonwalk jumper,USD,30,0%,-20%,High,85,0.02,1.55,,,,,,40,50,40,40,30,30,20,10,40,40,40,40,other
moonwalk party,USD,20,-67%,0%,Medium,50,,,,,,,,10,10,20,30,20,20,20,20,20,30,30,10,other
moonwalk prices,USD,20,-33%,-33%,Low,8,,,,,,,,10,20,10,30,10,10,10,10,20,30,20,20,other
moonwalk slides,USD,70,-22%,-50%,High,95,0.53,1.82,,,,,,110,90,70,70,40,50,20,40,90,90,90,70,other
moonwalk water slide for sale,USD,10,0%,0%,High,100,0.25,0.94,,,,,,10,50,10,10,10,10,10,10,10,10,10,10,secondary
moonwalk with slide,USD,70,-22%,-50%,High,95,0.53,1.82,,,,,,110,90,70,70,40,50,20,40,90,90,90,70,other
moonwalkers bounce house,USD,10,0%,-50%,Medium,58,0.04,2.08,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,other
